data_date,security_id,d2
20100511,493601,17.2176
20100511,584001,0.7334
20100511,630801,-42.938
20100511,633901,-57.322
20100511,710601,-1.4985
20100511,774401,-153.951
20100511,810901,NA
20100511,873801,-1725.8
20100511,885901,-8.905
20100511,934601,11.314
20100511,940601,-23.099
20100511,1021201,-1.5822
20100511,1126001,8.964
20100511,1161101,-7.089
20100511,1228101,110.503
20100511,1329301,4.055
20100511,1399801,7.802
20100511,1405401,NA
20100511,1430801,36.411
20100511,1480901,319.708
20100511,1506501,-98.003
20100511,1523001,6.835
20100511,1613201,633.321
20100511,1618001,7.333
20100511,1654801,-6.049
20100511,1751901,28.014
20100511,1754301,4.0732
20100511,1760501,30.362
20100511,1760601,30.362
20100511,1822701,-22.1405
20100511,1844001,12.976
20100511,1940701,-93.5
20100511,1942901,-211.72
20100511,1945001,25.22
20100511,1968801,4.133
20100511,2008401,-67.946
20100511,2031401,272.837
20100511,2224401,-21.275
20100511,2299601,913.955
20100511,2355401,0.446
20100511,2375701,-163.009
20100511,2379601,-62.733
20100511,2495401,-18.362
20100511,2526201,-3.137
20100511,2545501,-48.131
20100511,2555101,10.602
20100511,2555301,10.602
20100511,2662701,7.166
20100511,2686501,-7.6249
20100511,2722301,11.127
20100511,2739801,-1.651
20100511,2774801,359.749
20100511,2810401,-6.222
20100511,2821001,6.098
20100511,2856001,12.8218
20100511,2886201,-1.725
20100511,2954901,3.138
20100511,2970001,683.394
20100511,2978601,-117.149
20100511,3046201,5.041
20100511,3097801,89.159
20100511,3110401,11.52
20100511,3110501,11.52
20100511,3123301,82.007
20100511,3186901,-28.4162
20100511,3243901,47.2097
20100511,3256201,NA
20100511,3291501,-79.934
20100511,3300101,-58.689
20100511,3308801,51.281
20100511,3336201,1.9425
20100511,3400801,314.882
20100511,3412901,19.511
20100511,3563501,-12.5948
20100511,3566201,-249.217
20100511,3591401,NA
20100511,3636401,-5.019
20100511,3645901,0.0715
20100511,3649901,85.893
20100511,3719101,17.636
20100511,3772401,-35.372
20100511,3827701,-26.3487
20100511,3951701,-9.077
20100511,4133001,-54.0358
20100511,4178701,1329.05
20100511,4215201,-83.263
20100511,4271801,NA
20100511,4293601,34.31
20100511,4306901,18.8
20100511,4324001,-2020.42
20100511,4390201,7.16
20100511,4420401,3.011
20100511,4509701,-7.8004
20100511,4512001,-3.635
20100511,4562901,31.955
20100511,4566201,-14.942
20100511,4670601,-60.008
20100511,4843901,18.422
20100511,4905201,13.319
20100511,4906601,1395
20100511,4942401,-101.16
20100511,4967601,28.551
20100511,4978501,41.9
20100511,4979901,213.001
20100511,5126301,6.141
20100511,5135301,-36.83
20100511,5140201,224.582
20100511,5181301,-27.43
20100511,5245601,58.891
20100511,5274701,0.4276
20100511,5301801,40.408
20100511,5311701,-181154
20100511,5315001,33.636
20100511,5318901,-1.676
20100511,5346701,-63.5626
20100511,5356301,-1.255
20100511,5423401,117.968
20100511,5442701,0.1633
20100511,5473501,19.663
20100511,5494301,26.613
20100511,5520301,26.6387
20100511,5525201,57.444
20100511,5566001,24.141
20100511,5622501,NA
20100511,5696401,31.258
20100511,5705601,523.352
20100511,5708601,33.68
20100511,5763901,-48.255
20100511,5778201,93.684
20100511,5861201,-38.46
20100511,5871401,7.706
20100511,5908701,-20.5857
20100511,6088501,3.178
20100511,6090601,39.525
20100511,6151401,4.867
20100511,6429801,-23.223
20100511,6809001,32.861
20100511,6815501,51.23
20100511,6863301,50.47
20100511,6878401,210.817
20100511,6980901,-176.002
20100511,7102001,-44.76
20100511,7257001,28.751
20100511,7262401,51.667
20100511,7330001,NA
20100511,7343801,24.483
20100511,7487401,437.456
20100511,7487801,437.456
20100511,7572701,NA
20100511,7575901,-2.2826
20100511,7578401,142.146
20100511,7601401,-6.558
20100511,7612501,165.889
20100511,7639301,187.16
20100511,7670601,-3.9018
20100511,7715701,560
20100511,7789201,-5.9526
20100511,7819001,317.967
20100511,7820501,-24.86
20100511,7846901,29.2515
20100511,7874701,8.245
20100511,8013301,-15.001
20100511,8052501,26.62
20100511,8075801,-10.1135
20100511,8080801,250.296
20100511,8098501,-4.3452
20100511,8210501,-20.44
20100511,8214501,77.533
20100511,8306101,8.3597
20100511,8311201,20.418
20100511,8380101,-124.437
20100511,8397001,23.766
20100511,8405201,17.0043
20100511,8467201,-138.713
20100511,8499701,-35.417
20100511,8674301,NA
20100511,10038901,-17.0219
20100511,10209101,-22.728
20100511,10212401,-21.931
20100511,11031001,-10.338
20100511,11896301,-15.953
20100511,12162601,-2.978
20100511,17336001,7.341
20100511,19569501,27.813
20100511,23685601,-14.771
20100511,26255801,-7.072
20100511,29209901,490.5
20100511,29299401,1.5276
20100511,29324201,15.37
20100511,29971701,-26.284
20100511,30596201,NA
20100511,30628401,-342.567
20100511,30639801,-18.2924
20100511,31754801,-14.961
20100511,32264101,-9.9164
20100511,33417001,-64.3032
20100511,33426501,12.396
20100511,33426601,NA
20100511,33439901,NA
20100511,33521601,-30.149
20100511,33658001,NA
20100511,35330901,NA
20100511,36181201,26.1
20100511,36766701,1.591
20100511,1077377301,15.3366
20100511,1089992501,NA
20100511,1091340801,NA
20100511,1092323501,-184.603
20100511,1092323801,NA
20100511,1092379101,17.1537
20100511,1095427101,NA
20100512,201301,NA
20100512,204201,5.994
20100512,506501,43.01
20100512,564901,8.23
20100512,589601,-5.241
20100512,605701,NA
20100512,619501,-4.795
20100512,657301,-0.2078
20100512,859901,13.892
20100512,1117501,3.928
20100512,1131401,0.1201
20100512,1139301,1707.78
20100512,1239101,39.6392
20100512,1418801,257.09
20100512,1607901,10.4815
20100512,1623401,409.314
20100512,1706701,-20.191
20100512,1780801,20.1862
20100512,1895201,-5.4895
20100512,2000101,3930
20100512,2009201,9.6869
20100512,2036601,6.4378
20100512,2336201,-19.814
20100512,2336701,-0.342
20100512,2336801,0.827
20100512,2337801,-153
20100512,2465601,4.3621
20100512,2495601,-31.97
20100512,2803001,239.668
20100512,3043601,NA
20100512,3145801,-144.157
20100512,3309701,-27.4231
20100512,3695301,-19.0071
20100512,3727401,1.0904
20100512,3999301,92451
20100512,4172101,NA
20100512,4314901,-4.1813
20100512,4418901,34.34
20100512,4582601,11.547
20100512,4641201,21.32
20100512,4839401,-201.706
20100512,5005201,-7.5972
20100512,5052101,-5.367
20100512,5061301,108.549
20100512,5089801,-36.273
20100512,5115601,74.1131
20100512,5330101,-28.432
20100512,5422001,-1.7381
20100512,5459701,NA
20100512,5634901,-4.957
20100512,5791601,2.5221
20100512,6001001,10.2325
20100512,6040601,3.273
20100512,6042701,12.692
20100512,6045001,5.0362
20100512,6169301,NA
20100512,6176301,23.749
20100512,7016601,26.439
20100512,7020801,-3.052
20100512,7037001,-7.369
20100512,7337901,NA
20100512,7354701,6.5151
20100512,7387101,-52.482
20100512,7392601,5.6327
20100512,7621001,1953990
20100512,7794901,5.4623
20100512,7799601,12.23
20100512,8470201,NA
20100512,8666001,-8.976
20100512,8671701,NA
20100512,8679901,NA
20100512,9067101,-46.3652
20100512,10212801,53.877
20100512,15266301,-13.409
20100512,16248001,-21.682
20100512,16709201,-8.412
20100512,18365401,NA
20100512,19743001,NA
20100512,22239501,13.47
20100512,23276101,-2.678
20100512,26922801,NA
20100512,29233001,-29.9784
20100512,29324301,23.082
20100512,32286501,16.27
20100512,33460001,0.4972
20100512,33500201,NA
20100512,34180701,18.992
20100512,1077772001,33.983
20100512,1091189301,21.037
20100512,1091302001,-16.643
20100512,1092457701,20.945
20100512,1092599001,NA
20100512,1092605401,NA
20100512,1092892401,NA
20100512,1092916901,234.317
20100512,1093307001,NA
20100513,85801,212.149
20100513,140801,41.231
20100513,237301,9.1665
20100513,586601,-56.4255
20100513,627301,23.227
20100513,719301,24.678
20100513,809201,-320.232
20100513,845101,-41.2597
20100513,1141801,34.591
20100513,1207701,-26.225
20100513,1349701,23.0674
20100513,1400901,NA
20100513,1431601,8016
20100513,1457001,1.583
20100513,1502201,38.431
20100513,1614301,539.402
20100513,1756101,-3.158
20100513,1779901,203.871
20100513,1799201,NA
20100513,1865901,7.924
20100513,1950201,2.3358
20100513,2385501,91.406
20100513,2449701,4.4191
20100513,2485501,-1.7343
20100513,2486001,NA
20100513,2504001,1.686
20100513,2565001,1280
20100513,2608601,-3.5556
20100513,2682101,9.715
20100513,2792801,-4.287
20100513,2912301,5.205
20100513,3145601,2244.55
20100513,3319301,504.2
20100513,3327401,2.2714
20100513,3436901,NA
20100513,3523201,362.917
20100513,3604201,NA
20100513,3722801,-2.556
20100513,3765801,-2.9951
20100513,3800901,0.922
20100513,3905901,NA
20100513,3936601,-73.7
20100513,4135301,3.3918
20100513,4242401,NA
20100513,4408701,2.5754
20100513,4687801,92.427
20100513,4700701,NA
20100513,4720701,NA
20100513,4974401,1.716
20100513,5011701,-93.3276
20100513,5057901,21.35
20100513,5086001,2.1645
20100513,5131101,3.3129
20100513,5212801,2.2312
20100513,5261701,-17.0092
20100513,5325101,-9.492
20100513,5371201,76.451
